部品ID,分類,部品名,アイコン,タイトル,本文,出典,レイアウト,配色,対象計画,使用頻度,備考
BC-01,基本,ポイント,電球,〇〇計画推進のポイント,本計画では◯◯を重点に推進します。…,,枠＋アイコン上,共通,全計画,★★★★★,KPI整理にも活用
BC-02,基本,コラム,吹き出し,〇〇とは？,〇〇は◯年に制定された制度で…,,帯＋アイコン左,共通,全計画,★★★★★,最も汎用的に使用
BC-03,基本,事例紹介,家,〇〇市の取り組み事例,◯◯市では地域包括ケアの一環として…,,左ライン＋アイコン,共通,全計画,★★★★,出典明記が必要
BC-04,基本,解説,書類,用語解説：〇〇,〇〇とは、△△を指します。…,,角丸＋影付き,共通,全計画,★★★★,巻末用語集と連携
BC-05,基本,データの見方,グラフ,このグラフの見方,縦軸は◯◯、横軸は◯◯を示しています。…,,二重枠,共通,全計画,★★★★★,図表直下に配置
BC-06,基本,注意・留意点,！,推進にあたっての留意点,〇〇の実施にあたっては…にご留意ください。,,背景色ベタ,共通,全計画,★★★★,視認性を高める
SR-01,高齢者,認知症サポート,カップ,認知症の方を地域で支える,認知症サポーターは…として活動しています。,,帯＋アイコン左,高齢者,高齢者計画,★★★★★,オレンジリング啓発連動
SR-02,高齢者,介護予防のヒント,歩く人,今日からできるフレイル予防,運動・栄養・社会参加の3本柱で…,,枠＋アイコン上,高齢者,高齢者計画,★★★★★,イラスト併用推奨
SR-03,高齢者,在宅生活を支える,家,在宅生活を支えるサービス,訪問介護・訪問看護など…,,左ライン＋アイコン,高齢者,高齢者計画,★★★★,サービス一覧と連携
DS-01,障がい,合理的配慮とは,ハート手,合理的配慮を理解する,合理的配慮とは、障害のある人が…,,角丸＋影付き,障がい,障がい計画,★★★★★,差別解消法との関係明記
DS-02,障がい,コミュニケーション支援,吹き出し,伝わるコミュニケーションの工夫,手話、要約筆記、絵カードなど…,,帯＋アイコン左,障がい,障がい計画,★★★★,絵記号併記推奨
DS-03,障がい,地域での共生,人々,地域共生社会の実現に向けて,住民同士の支え合いと…,,左ライン＋アイコン,障がい,障がい計画,★★★★,地域包括との接続
CH-01,こども,子どもの声,こども顔,子どもたちの声,「もっと安心して遊べる場所がほしい」…,,枠＋アイコン上,こども,こども計画,★★★★★,原文ニュアンス保持
CH-02,こども,子育てワンポイント,親子,子育てワンポイントアドバイス,乳幼児期の関わり方のコツは…,,帯＋アイコン左,こども,こども計画,★★★★,親しみやすい文体
CH-03,こども,成長を支える地域,家と子,地域で育てる子どもの未来,放課後子ども教室や見守り活動…,,左ライン＋アイコン,こども,こども計画,★★★★,地域組織と連携
