#,2026-08-31 レビュー指摘を受けた訂正。増収試算への影響は軽微だが、水量・実効単価は訂正が必要
項目,v1（2026-08-19）,v2（2026-08-31）,訂正理由
漁集 推計水量(㎥),"41,303","41,074〜43,639",基本料金帯285件を1㎥として計上していた。1〜10㎥で特定不能のため範囲表示に変更
公共 推計水量(㎥),"193,707","179,174〜194,087","基本料金帯1,657件を1㎥として計上。併せて特殊算定487件を推計対象外とした"
漁集 実効単価(円/㎥),178.5,168.1〜178.6,上記水量の訂正を反映
公共 実効単価(円/㎥),183.9,168.0〜182.0,上記水量の訂正を反映
漁集 案1調定額(円),"8,136,229","8,136,688",特殊算定5件を現行×1.10に統一
公共 案1調定額(円),"39,275,397","39,278,957",特殊算定487件を現行×1.10に統一
2事業計 増収額(円),"4,424,494","4,428,513","同上（差 4,019円）"
調定の表現,R7年度年間実績（隔月6回＝12か月分）,R7年度奇数月6回調定集計ベース,偶数月調定・毎月検針者の一部を含まないため
経営戦略との収入比較,"公共 R7予測38,724千円に対し実績35,613千円＝▲8%",単純比較を保留,税込／税抜の別、調定と決算上の収入の別、集計範囲の欠落が未整理のため

v11,区分別シェアの分母が収入と水量で不一致,収入シェア5.3%（調定額全体が分母）と水量シェア37.9%（従量部分が分母）を対比していた,同一分母（従量部分）で従量収入10.0%・従量水量34.9%に統一
v11,毎月検針の記録が特殊算定に混入,2か月の算定式でしか照合していなかった（公共66件・漁集5件）,水量欄と3通りの算定式を照合して検針区分を判別。51㎥〜の従量収入比12.9%→19.5%
v11,集計範囲,"主検針6か月 9,070件・42,987,132円","年間全件12か月 9,220件"
v11,表3と表8の定義が不統一,表3は日割等への波及を含まない静的計算,表3に「うち従量部分のみ」を併記
v12,漁集の日割11件が基本使用料に切り上げ計上,"集計ブックに日割行がなく11件×2,217円＝24,387円で計上","明細実額13,189円で評価し直し（▲11,198円）。調定額44,567,510円・増収4,427,950円・+9.94%"
v13,"P1要点②が旧8,493千円のまま（Red Team指摘）",旧版の増収余地が残存,"約9,016千円・+20.2%へ修正。従量部分のみ8,518千円を併記"
v13,P1の「偶数月・毎月検針が欠落」が残存（Red Team指摘）,"年間全件9,220件と自己矛盾",削除し、日割・異動等598件の簡便法に関する留保へ差替え
v13,"表7が旧9,070件ベース（Red Team指摘）",月51㎥〜が64件・0.8%・金額9.3%,年間全件で再集計し96件・1.2%・金額14.4%へ
v13,「2か月請求＝月額の2倍」（Red Team指摘）,端数処理の検証結果と矛盾,2か月分を算定後に消費税加算・1円未満切捨てと記載
v13,増収率の適用（Red Team指摘）,「そのまま適用できる」,加重平均であり同程度の利用構成を前提とする近似適用と明記
v13,世帯像（Red Team指摘）,単身・高齢世帯／3〜4人世帯等と断定,「参考イメージ」に変更し、表7からは削除
v13,QA成果物の新旧混在（Red Team指摘）,MD・ログ・JSONの件数が不一致,同一実行から再生成。旧版スクリプト・ログは06_旧版（参考）へ隔離
