③ 空欄の計画期間を埋める手順 ｜ 一括で埋める → 個別に埋める → 判定する,,,,,,
STEP,やること,具体的な手順,情報源,埋まる列,所要の目安,備考
■ 一括で埋める（まずここから。個別に調べる前に必ず試す）,,,,,,
S1,北海道分を一括で埋める,EPO北海道の2017年一覧で主要自治体の環境基本計画を一次スクリーニングする。現行計画は自治体公式ページ・計画PDFで最終確認し、古い一覧の終期をそのまま確定値にしない,EPO北海道『道内自治体の環境基本計画等の策定状況』 https://epohok.jp/act/info/partnership/p2/6702 ／自治体公式ページ,G列 計画名／H・I列 計画期間／K列 確認状況,半日,2017年時点の主要自治体一覧。北海道の一次抽出には有効だが、士幌町のように現行ページで更新されているものは公式ページを優先
S2,東北6県分を県単位で当たる,各県の環境政策担当課に、県内市町村の環境基本計画の策定状況をまとめた資料があるか確認する。県によっては市町村支援の一環で一覧を持っている,各県 環境政策担当課／県の環境白書・年次報告書,同上,県あたり半日,資料が無い場合もS3へ進む。同時に県の市町村支援メニューも聞けるため一石二鳥
S3,実行計画側の策定状況で補完する,環境省の施行状況調査は、団体別の実行計画（事務事業編・区域施策編）の策定状況と最新の計画名称を一覧化している。環境基本計画そのものではないが、団体の計画整備レベルの代理指標になる,環境省 地方公共団体実行計画の策定・取組状況 https://www.env.go.jp/policy/local_keikaku/sakutei/01.html ／団体別一覧PDF https://policies.env.go.jp/policy/roadmap/local_keikaku/sakutei/files/chosa/R6/R06_ref02.pdf,備考欄（実行計画の整備状況）,1日,区域施策編が未策定・旧版の団体は、環境基本計画側も古い可能性が高い
■ 個別に埋める（一括で埋まらなかった団体）,,,,,,
S4,義務団体19を先に個別確認する,道県7・指定都市2・中核市10の計19団体は、単価と確度が最も高い。各団体サイトの環境基本計画ページで計画PDFを開き、表紙または第1章の『計画期間』を読む,各団体サイトの環境基本計画ページ,G～K列,19団体で1日,本リストで未確認なのは函館市・青森市・福島市・北海道・青森県・宮城県・秋田県・山形県・福島県の9団体
S5,市（112団体）を確認する,北海道35市・青森10・岩手14・宮城14・秋田13・山形13・福島13。同じくPDFの計画期間を読む。『第○次』の版数と策定年月から10年計画かどうかも記録する,各団体サイト,G～K列,1日30～40団体として3～4日,"単価3,000千円前提では市が現実的な主対象。町村は共同策定・広域発注が取れる場合に拾う"
S6,町村（294団体）は条件を絞って確認する,全町村を当たるのではなく、①ゼロカーボン宣言済 ②脱炭素交付金の採択あり ③人口1万人以上 のいずれかに該当する団体に絞る,環境省 脱炭素取組状況マップ https://www.env.go.jp/policy/local_keikaku/sakutei2/01.html ／交付金採択公表,G～K列＋備考,絞り込み後の件数次第,環境基本計画そのものを持たない町村も多い。『計画なし』も未策定提案の対象として記録する
■ 判定して営業に渡す,,,,,,
S7,R9年度満了を抽出する,02_営業先マスタのI列（終期年度）でフィルタし、令和9年度の団体を01_R9満了候補シートへ移す,本ブック,01シート,1時間,終期が令和9年度＝改定業務は令和9年度＝令和9年度当初予算が主戦場
S8,予算を確認してランクを確定する,抽出した団体について、令和8年度当初予算書と令和9年度の予算要求状況を確認し、営業整理v8の07_営業先優先度のS／A／B／C／D／S+へ置き換える,各団体の当初予算書・主要事業説明書,M列 接触優先度,団体あたり30分,R9満了組は令和8年度当初予算には載っていないのが通常。狙うのは令和9年度当初予算への計上であり、位置づけとしてはC（次年度予算化支援）から入ってSへ育てる
S9,現行計画を点検して改定理由を作る,営業整理v8の05_現行計画チェックの優先度『高』16項目を、対象団体の計画PDFで埋める,各団体の計画PDF,―,団体あたり1～2時間,特にC-07（目標年次が2030年度止まりか）・C-20（公共施設別の優先順位）・C-22（財源の記載）がそのまま提案の切り口になる
■ 埋めるときの注意,,,,,,
注1,推測で埋めない,策定年月から『10年計画だろう』と終期を推定して埋めると、営業リストとして有害になる。推定した場合は必ずK列に『推定』と書き、提案前に一次確認する,―,K列 確認状況,―,山形市などがこの扱い。苫小牧市は今回公式ページでR5～R12を確認し、推定候補から期間中改定案件へ修正
注2,計画名の揺れに注意,『環境基本計画』のほか『環境総合プラン』『環境計画』『○○環境プラン』など名称が異なる団体がある。名称で検索して見つからない場合は、団体サイトの計画一覧ページから探す,―,G列,―,青森県は『青森県環境総合プラン』、仙台市は『杜の都環境プラン』
注3,一体化に注意,環境基本計画と地方公共団体実行計画（区域施策編）を1冊にまとめている団体がある。その場合は1件の改定で業務範囲が広がるため、単価が上がる,―,備考,―,営業整理v8の05_現行計画チェック C-08
注4,中間見直しを見落とさない,計画期間の途中でも、中間見直し規定があれば案件が立つ。いわき市は令和3～12年度の計画期間中に、令和8年に一部改定業務を発注している,―,備考,―,終期だけを見ていると、この層を丸ごと取りこぼす
,,,,,,
S1（EPO北海道の一覧）が最も費用対効果が高い。北海道179団体のうち158団体が元Excelの推進対象であり、ここが一気に埋まれば市場の見え方が変わる。,,,,,,
S1（EPO北海道の一覧）は一次スクリーニングとして費用対効果が高い。ただし2017年資料のため、R9満了判定は必ず自治体公式ページ・計画PDFで最終確認する。,,,,,,
