① 令和9年度末で計画期間満了となる先 ｜ 令和9年度当初予算が主戦場,,,,,,,,,,
区分,都道府県,自治体名,義務区分,現行計画名称,計画期間,確認状況,なぜ狙うか,接触時期,初回に持っていくもの,出典・確認先
■ 確認済：令和9年度末で計画期間満了（＝令和9年度に改定業務、令和9年度当初予算が主戦場）,,,,,,,,,,
★確定,北海道,旭川市,義務（中核市）,旭川市環境基本計画［第2次計画 改定版］,平成28年度～令和9年度（12年間）,確認済,中核市で区域施策編の策定義務あり。人口規模が大きく単価が取りやすい。12年計画のため国の制度環境（第六次環境基本計画・地球温暖化対策計画改定・脱炭素交付金）が策定時から全面的に変わっており、全面改定の理由が明確,令和8年度の予算要求期（8～10月）に接触。令和9年度当初予算への計上を狙う,①国の第六次環境基本計画との構成ギャップ表 ②2035年度60%・2040年度73%目標と現行目標の比較表 ③改定業務の概算見積,旭川市 環境基本計画ページ／環境白書
★確定,秋田県,秋田市,義務（中核市）,秋田市環境基本計画（第3次）,平成30年度～令和9年度（10年間）,確認済,中核市で区域施策編の策定義務あり。県庁所在地で単価が取りやすい。10年計画の満了であり第4次の全面策定となる。策定時（平成30年）は国の第五次環境基本計画期であり、第六次への対応が丸ごと未反映,令和8年度の予算要求期（8～10月）に接触。令和9年度当初予算への計上を狙う,同上＋秋田市の部門別排出構成（自治体排出量カルテ）を使った重点分野の仮説,秋田市 環境基本計画 年次報告書PDF
★確定,北海道,士幌町,努力義務,第2期士幌町環境基本計画（中間見直し後）,平成30年度～令和9年度（10年間）,確認済,小規模町村だが、令和5年度に中間見直し・ゼロカーボン追記済。R9満了に向け、環境基本計画と温対実行計画・事務事業編を軽量一体化して提案しやすい,令和8年度の予算要求期（8～10月）に接触。令和9年度当初予算への計上を狙う,①現行計画評価 ②ゼロカーボン施策と実行計画の整合表 ③町村向け軽量改定見積,士幌町公式 環境基本計画ページ https://www.shihoro.jp/town/detail.php?content=1097&domain_status=hakgy39gjamvyha022gaz
★確定,青森県,弘前市,努力義務,第三次弘前市環境基本計画,令和3年度～令和9年度（7年間）,確認済,添付周期表で公式ページ・PDFによりR9満了確認済。青森県内のR9目標1件候補として、県計画との整合・2030目標への中間評価を切り口にできる,令和8年度の予算要求期（8～10月）に接触。令和9年度当初予算への計上を狙う,①国・県計画との対応表 ②2030目標の中間評価 ③改定業務の概算見積,添付周期表／弘前市公式ページ https://www.city.hirosaki.aomori.jp/jouhou/keikaku/2021-0401-kankyoukihon.html
■ 期間満了済・改定進行中（別の入り方をする先）,,,,,,,,,,
◇今年度満了,岩手県,一関市,努力義務,一関市環境基本計画,平成29年度～令和8年度（10年間）,確認済,令和8年度末で満了＝次期計画は令和9年度開始。改定業務は今年度に実施されるはずで、R9満了先より1年早い。今年度に動いている数少ない案件,直ちに接触。既発注か自前策定か、支援できる範囲が残っているかを確認する,①既発注・自前策定・支援範囲の確認 ②発注済みなら範囲外の二次分析・素案レビュー・財源対応表 ③未発注なら補正での短期策定支援,一関市 生活環境課 環境基本計画ページ。市の地球温暖化対策地域推進計画は令和5年度～令和12年度
◇満了期,北海道,江別市,努力義務,えべつアジェンダ21―江別市環境管理計画―,平成7年度～（計画期間30年）／後期推進計画は平成26年度～令和5年度で終了,確認済,平成7年度に30年計画として策定され終期が到来。後期推進計画も令和5年度で終了しており、後継計画の状況が確認できていない。満了したまま次期が立ち上がっていない可能性がある,後継計画の有無を早急に確認する。未策定なら令和9年度当初での策定提案,①後継計画の策定状況の確認 ②30年計画から現行の制度環境への組み替え提案 ③国の第六次環境基本計画・2035年度目標との差分表,江別市 環境管理計画・環境管理計画後期推進計画のページ
◆別扱い,福島県,福島市,義務（中核市）,第3次福島市環境基本計画,令和3年度～令和7年度（5年間・満了済）,確認済,令和7年度末で満了済。中核市で区域施策編の策定義務があり、5年周期のため次の満了も早く来る。第4次の策定状況が未確認,第4次の策定状況を早急に確認する,①第4次の策定状況の確認 ②発注済みなら範囲外の二次分析・レビュー ③未策定なら満了後の空白のリスク整理,福島市 環境基本計画（令和3年2月策定）ページ
◆別扱い,北海道,芽室町,努力義務,クリーンめむろ環境基本計画,令和8年度(2026) 策定手続中,確認済,令和8年度の町民参加予定に環境審議会・パブリックコメント・策定予定が掲げられており、まさに策定手続の最中。終期を見るだけでは拾えないが、当年度に動いている数少ない案件,最優先。今すぐ接触し、既発注か自前策定か、支援できる範囲が残っているかを確認する,①既発注・自前策定・支援範囲の確認 ②審議会・パブコメ工程に合わせた短期支援メニュー ③素案レビュー・アンケート二次分析の提案,芽室町 令和8年度町民参加予定 https://www.memuro.net/administration/sanka/yotei/R8.html（06_町村改訂時期_20260825 行164）
