④ 時期別のアプローチ ｜ R9満了組は『令和8年度に予算を仕込み、令和9年度に受注する』,,,,,
時期,対象,やること,持っていくもの,狙う成果,備考
■ 令和8年度（今年度）＝R9満了組の予算化を仕込む,,,,,
令和8年8月～10月 （予算要求期）,R9年度満了の確定先（旭川市・士幌町・秋田市・弘前市）と、確認で追加される団体,環境課へ接触し、次期計画の改定に向けた庁内検討の状況を確認する。予算要求の材料を無償で提供する,①国の第六次環境基本計画との構成ギャップ表 ②2035年度60%・2040年度73%と現行目標の比較表 ③改定業務の概算見積 ④他団体の改定事例,令和9年度当初予算への計上（委託料の確保）,この段階の位置づけはC（次年度予算化支援）。受注ではなく予算を立ててもらうことが目的
令和8年9月～12月,同上,財政課への説明で不足している材料を聞き、財源対応表のたたき台を渡す,交付金・地方債と施策を結び付けた財源対応表の見本（営業整理v8の01_財源整理）,財政課の査定を通す材料の提供,環境課単独では査定で削られやすい。財政課が納得する説明材料が勝負
令和8年10月～令和9年2月,義務団体で終期未確認の団体（函館市・青森市・福島市ほか）,終期の確認を最優先で進め、R9満了なら上記の流れに合流させる,―,R9満了先の取りこぼしを防ぐ,中核市は単価が取りやすいため、確認優先度が最も高い
令和8年通年,苫小牧市・いわき市のような期間中の一部改定発注・改定諮問先,既委託・諮問の範囲を確認し、範囲外の二次分析・レビュー・財源対応表で入る,既委託と重複しない成果物の提案,部分受注（随契・少額委託）,営業整理v8の07_営業先優先度 A・Dランクの動き
■ 令和9年度＝R9満了組の本番,,,,,
令和9年4月～6月,令和9年度当初予算に委託料が計上された団体,仕様書化前に業務範囲を具体化する。調査・分析・審議会運営・計画本文・概要版・パブコメ支援まで提案する,業務範囲案、工程表、成果物一覧、体制表,本命提案（Sランク）,公告後では遅い。予算計上を確認したら即座に動く
令和9年度中,予算が付かなかった団体,補正予算の余地を探る。国の目標改定・区域施策編の未策定・議会での指摘を補正理由として材料化する,補正予算説明資料のたたき台,補正での小口受注（Bランク）,補正は理由が要る。理由を作れるかが勝負
■ 並行して進める（テーマ横断）,,,,,
令和8年度 早期,北海道・青森県ほか7道県,県の市町村支援・共同策定・広域連携の枠組みがあるかを確認する。あれば市町村を一件ずつ回るより県へ提案する方が効率が良い,県内市町村の計画整備状況の整理（S1・S3の成果物）,営業ルートの確定,小規模町村が多い北海道・東北ではこの枠組みが成立しやすい。最初に確認する価値が高い
令和8年度 通年,公共施設マネジメントの既存関与先,施設側の担当者経由で環境課につないでもらう。環境計画の話ではなく、公共施設の脱炭素化投資の話として持ち込む,施設別の省エネ優先度評価の見本、脱炭素化推進事業債の活用シナリオ,クロスセル（S+ランクの入口）,環境テーマで最も単価が伸びる型。営業整理v8の04_市場再整理 M-07
令和8年度 通年,ゼロカーボン宣言済で交付金未活用の団体,宣言と実態の乖離を1枚にまとめ、重点対策加速化事業の候補事業の棚卸しを提案する,宣言年月と現在の取組状況の対比表、交付金の要件チェック（再エネ1MW／0.5MW以上）,計画外の事業計画づくり案件,計画改定の予算がなくても動く層。営業整理v8の04_市場再整理 M-03
,,,,,
R9年度満了組の最大の注意点: 令和8年度当初予算には改定委託料は載っていない。今の時点で予算を探しても見つからないのが正常で、狙うのは令和9年度当初予算への計上である。ここを取り違えると『予算なし＝C（追わない）』と誤判定してしまう。,,,,,
逆に言えば、令和8年8月の今は予算要求期のど真ん中で、無償の材料提供で庁内の予算要求を後押しできる最も効果的な時期にあたる。,,,,,
