環境基本計画 町村未確認先 改訂時期調査（十勝・オホーツク・釧路優先）,,,,,,,,,,
更新日,2026-08-25,対象,町村の未確認先39件,方針,改訂時期のみ。推測で終期を埋めず、環境基本計画と関連計画を区別,,,,,
,,,,,,,,,,
管内,Excel行,自治体,種別,調査結果区分,環境基本計画名/関連計画,改訂・策定時期,計画期間/終期,営業判定,根拠URL・確認メモ,次確認
十勝,158,音更町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,町公式情報では都市計画・総合計画等が中心。環境基本計画の直接ページは未確認,公式サイト内検索・環境担当課ページ・計画一覧で環境基本計画PDFの有無を継続確認
十勝,160,上士幌町,町,一部確認,第2次上士幌町環境基本計画,令和6年度(2024)策定,終期要PDF確認,優先（策定済・期間要確認）,https://www.kamishihoro.jp/page/00000416 町公式ページで第2次計画策定を確認。HTML上では計画期間の終期が読めない,PDF本文の計画期間だけ確認。R9満了候補ではなくR6策定直後の可能性が高い
十勝,161,鹿追町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,https://www.town.shikaoi.lg.jp/gyosei/seisaku_keikaku/sogo_keikaku/n7_kouki/ 総合計画・後期計画は確認できるが、環境基本計画の期間は未確認,総合計画と温暖化対策計画を入口に、環境基本計画の有無だけ継続確認
十勝,162,新得町,町,一部確認,新得町環境基本計画・地球温暖化対策実行計画(区域施策編)・気候変動適応計画,策定済（年度要PDF確認）,終期要PDF確認,優先（環境基本＋温対一体）,https://www.shintoku-town.jp/gyousei/koukai_kouhyou/tyoumin/kankyoukihonkeikaku/ 町公式ページで環境基本計画と温対・適応計画の一体掲載を確認。HTML上では期間未確認,PDF本文で改訂時期・終期を確認。一体計画のため改定時は提案余地が大きい
十勝,163,清水町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,https://www.town.shimizu.hokkaido.jp/plans/ 町公式の計画一覧では環境基本計画の直接掲載を確認できず,同名自治体の検索混入に注意し、北海道清水町の環境担当課ページで継続確認
十勝,164,芽室町,町,策定中,クリーンめむろ環境基本計画・芽室町ごみ処理基本計画,令和8年度(2026)策定予定,策定中,最優先（策定手続中）,https://www.memuro.net/administration/sanka/yotei/R8.html 令和8年度町民参加予定で環境審議会・パブコメ・策定予定を確認,既発注・自前策定・支援範囲を確認。R8年度内の審議会/パブコメ工程に沿って短期提案
十勝,165,中札内村,村,関連計画のみ,関連：地球温暖化対策実行計画,令和6年度(2024)改訂,環境基本計画の終期は未確認,中（温対連携）,https://www.vill.nakasatsunai.hokkaido.jp/sonsei/gyousei/chikyu_ondan/chikyu_ondan_01/ 村公式ページで第4期地球温暖化対策実行計画を確認。環境基本計画は未確認,環境基本計画の有無は継続確認。温対実行計画の進捗管理・見直しを入口にする
十勝,166,更別村,村,上位計画のみ,関連：第6期更別村総合計画,平成30年度(2018),令和9年度(2027),中（総合計画R9・環境は未確認）,https://www.sarabetsu.jp/gyosei/seisaku/sogo/6_sogo_plan/ 総合計画H30-R9は確認。環境基本計画の期間ではないため終期欄の転用不可,総合計画改定に合わせた環境分野の個別計画有無を確認
十勝,167,大樹町,町,上位計画のみ,関連：大樹町総合計画,令和6年度(2024),令和15年度(2033),低（環境基本計画未確認）,https://www.town.taiki.hokkaido.jp/soshiki/kikakushokoka/1/1/1/544.html 総合計画R6-R15は確認。環境基本計画の終期は未確認,みどりの基本計画・温対計画との関係を確認し、環境基本計画の有無を継続確認
十勝,168,広尾町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,森林整備計画等は確認できるが、環境基本計画の直接ページは未確認,環境担当課・計画一覧で継続確認
