環境基本計画 営業先リスト（北海道・東北6県）｜ R9年度満了先の特定,,,
区分,項目,内容,補足
対象,対象範囲,北海道179市町村＋東北6県227市町村＋7道県＝計413団体,青森40／岩手33／宮城35／秋田25／山形35／福島59
対象,元にした整理,環境基本計画_営業整理_v8.xlsx（特に07_営業先優先度のスクリーニング手順STEP1～7）,本リストはSTEP1（計画終期の把握）の実行結果
対象,作成日,2026-08-24,―
絞り込み,最重要の絞り込み条件,現行環境基本計画が令和9年度末で計画期間満了となる団体,次期計画は令和10年度開始
絞り込み,なぜ今なのか,令和9年度末満了なら改定業務は令和9年度に実施＝令和9年度当初予算に計上が必要。予算要求は令和8年度の夏～秋,令和8年8月の現時点は、まさに予算要求支援で入り込む時期
絞り込み,v7原則との関係,『計画が切れる前年度に当初予算を持っているかが勝負』。令和9年度末満了組にとっての前年度＝令和8年度が今,ただしこの層は令和8年度当初予算には載っていないため、狙うのは令和9年度当初予算への計上
結果,R9年度満了 該当（確認済）,4件,01_R9満了候補シートを参照。北海道分は旭川市・士幌町を確認済
結果,R9年度満了 有力候補（推定・要確認）,0件,苫小牧市はR9満了推定から除外し、期間中改定案件として別扱いへ修正
結果,計画期間 確認済,12件,Web検索で計画期間を特定できた団体
結果,計画期間 一部確認・推定,5件,策定年度のみ判明、または期間を推定した団体
結果,計画期間 未確認,396件,本リストでは空欄。03_確認手順に沿って埋める
制約,なぜ全件埋まっていないか,追加資料（R9営業検討メモ・周期表）と公式ページ確認で一部補完。未確認欄は引き続き空欄管理し、推測で終期を埋めない,推測で終期を埋めると営業リストとして有害なため、未確認は空欄のままにしている
制約,空欄を埋める最短ルート,EPO北海道の2017年一覧は一次スクリーニングに有効。ただし現行計画の確定には自治体公式ページ・計画PDFでの最終確認が必要,03_確認手順 参照
制約,確認状況の表記,2026-08-25追記：町村未確認先のうち十勝・オホーツク・釧路39件を改訂時期のみ調査。詳細は06_町村改訂時期_20260825を参照。件数表は全道精査後に再集計,推定は必ず一次確認してから提案に使う
注意,環境基本計画は法定計画ではない,策定義務がないため、そもそも環境基本計画を持たない市町村がある（特に小規模町村）。『計画なし』も未策定提案の対象として拾う,一方、実行計画の事務事業編は全団体に策定義務がある
注意,義務／努力義務の区分,区域施策編の策定義務があるのは道県7・指定都市2（札幌・仙台）・中核市10（旭川・函館・青森・八戸・盛岡・秋田・山形・福島・郡山・いわき）の計19団体,北海道・東北に施行時特例市はない
注意,終期満了だけが案件ではない,いわき市のように、計画期間の途中でも一部改定を発注する例がある。中間見直し規定の有無も併せて確認する,05_現行計画チェック C-03 を参照
,,,
使い方: 01でR9満了の確定先・候補先を押さえ、02のマスタで担当エリアを絞り、03の手順で空欄の終期を埋めていく。埋まった団体から01へ追加していく運用を想定している。,,,
計画期間が未確認の団体を『該当しない』と読まないこと。未確認は判定していないだけで、この中にR9満了先が相当数含まれている可能性が高い。,,,
構成,07_提出仕様_文字コード,ファイル名と文字コードの規則。行政系へ提出する際の出力方法を明文化,文字コード調査報告（encodinginvestigation.md）の結論を適用
更新,2026-08-25 の更新,06_町村改訂時期の調査結果のうち01へ未反映だった芽室町・津別町を反映（追加8行）。提出用CSV出力と半角英数ファイル名モードを追加,05_更新メモ・07_提出仕様_文字コード を参照
注意,本ブックの更新方法,本ブックは初版生成後、調査結果が直接編集で積み上がっている。初版生成スクリプト（build_hokkaido_tohoku_list.py）を再実行すると調査結果が失われるため、更新は update_sales_list.py で行う,―
構成,08_改定時期調査_20260825b,義務団体・主要市の未確認先を優先に計画期間を調査した結果。終期を特定できた11件、計画名・策定年のみ9件、計画そのものを確認できず3件,終期を特定できたものだけを確認済にし、推測では埋めていない
更新,2026-08-25 第2回の更新,R9年度末満了の新規該当先は出なかった。代わりに令和8年度末満了（一関市＝今年度が改定年度）と満了済・満了期（福島市・江別市）の3件を発見,08_改定時期調査_20260825b を参照
